Team Member Name,"Genre",Article Name,Link to Article,"Key Summary, Notes, and Takeaways "
Mengyuan,Health,"After a year of turmoil, cancer researchers see promising signs for mRNA vaccines",https://www.cnn.com/2026/04/20/health/cancer-research-mrna-vaccines,"mRNA technology became widely known through the COVID vaccines, but the field has faced a lot of political pushback in recent years including a proposed 40%+ cut to the National Cancer Institute's budget and the cancellation of an mRNA flu vaccine contract. Despite all of that, research seems to still be moving forward. The article follows pancreatic cancer patients who are participating in mRNA cancer vaccine trials."
Mengyuan,Health,"Senators grill RFK Jr. on vaccines, drug prices and more at hearing",https://www.npr.org/2026/04/22/nx-s1-5792840/rfk-jr-senate-house-budget-hearings-vaccines-cdc-medicaid,"RFK Jr. did seven consecutive congressional hearings this week. He described his 15 months leading HHS as having delivered significant results, pointing to things like drug price negotiations and pushing to ban petroleum-based food dyes. Democrats pushed back hard though, repeatedly pressing him on his stance on vaccines. Surprisingly, he came out in clear support of the measles vaccine, which seems against his previous stand."
Mengyuan,Tech,Meta to cut 10% of staff as it pours billions into AI,https://www.cnn.com/2026/04/23/tech/meta-layoffs-10-percent-staff-ai,"Meta announced it is laying off around 8,000 employees (about 10% of its workforce), with cuts taking effect on May 20th. The reason is essentially to redirect money toward AI investments. Zuckerberg had actually hinted at this earlier in the year when he said AI would ""dramatically change the way we work."" Beyond Meta, Microsoft is simultaneously offering voluntary buyouts, and Amazon and Salesforce are also cutting jobs."
Mengyuan,Politics,Trump administration vows crackdown on Chinese firms 'exploiting' U.S. AI models,https://www.npr.org/2026/04/24/g-s1-118582/administration-crackdown-on-chinese-firms-exploiting-u-s-ai-models,"The Trump administration has accused Chinese tech companies of running large-scale campaigns to ""distill"" U.S. AI models. Anthropic has also separately accused DeepSeek and other Chinese AI labs of doing something similar with Claude. There is bipartisan support in Congress for a bill that would sanction those involved. However, experts have pointed out that distinguishing illegal distillation from normal usage will be very difficult, and with Trump's planned visit to Beijing in May, the actual enforcement could end up being shaped by diplomatic considerations."
Mengyuan,Health,"RSV is still spreading, prompting states to extend the immunization period",https://www.cnn.com/2026/04/06/health/rsv-immunization-extended-april,"RSV has been spreading later into the season than usual this year, with a positive test rate of 7.5%, noticeably higher than the same time last year. Because of this, almost every state has extended its RSV immunization window through the end of April. This is especially important because RSV poses the greatest risk to newborns, and around 10,000 babies are born every day in the U.S."
Minfei,Politics,Trump claims Iran’s regime is fractured. The reality is more complicated.,https://www.cnn.com/2026/04/22/middleeast/iran-war-leadership-cohesive-intl-latam,"Despite President Trump's claims that Iran’s leadership is ""seriously fractured"" after it boycotted ceasefire talks in Pakistan, experts argue the Iranian regime is displaying unprecedented cohesion. Following the assassinations of top leaders by U.S. and Israel, the country is now operating under a unified wartime system managed by a diverse group of officials.New Supreme Leader, Mojtaba Khamenei, is reportedly in hiding and incapacitated, forcing subordinates to make decisions autonomously. Iranian officials must navigate external pressure from the U.S. alongside internal pressure from hard-liners who oppose any diplomatic concession that resembles defeat. Currently, Iranian negotiators are refusing to return to the table until the U.S. lifts its blockade on Iranian ports."
Minfei,Tech,"In a race between humans and robots, machines take the victory in a sign of advancements",https://www.nbcnews.com/world/china/humanoid-robots-race-humans-beijing-half-marathon-showing-rapid-advanc-rcna340842,"A bipedal humanoid robot named ""Lightning,"" developed by Chinese tech firm Honor, won the Beijing E-Town Humanoid Robot Half-Marathon, finishing in 50 minutes and 26 seconds. It broke the human world record by nearly seven minutes and outpaced 12,000 human competitors. Last year's winning robot took over two and a half hours, whereas this year, at least four robots finished in under an hour. Furthermore, nearly 40% of the robots completed the course entirely autonomously. The event highlights China's aggressive, state-subsidized push to dominate the global AI and robotics industry as a ""national priority"". The winning team will secure over 1 million yuan in orders. However, developers acknowledge the technology is still maturing; several robots suffered crashes and needed mid-race repairs, illustrating that while the machines have advanced physical capabilities, they still lack matching cognitive intelligence."
Minfei,Politics,Air War in Iran Gives Way to Crippling Stalemate in Hormuz,https://www.wsj.com/world/middle-east/air-war-in-iran-gives-way-to-crippling-stalemate-in-hormuz-4f083808,"The geopolitical conflict between the U.S., Israel, and Iran has settled into a stalemate centered around the closure of the Strait of Hormuz.While direct military bombardments have paused, a ""double blockade"" is disrupting global commerce.The U.S. is blocking Iranian oil exports to force diplomatic concessions, while Iran continues to attack and seize commercial vessels, leading to stalled peace talks. This chokepoint has trapped 10% of the global oil supply, pushing prices above $100 a barrel and sparking fears of global stagflation. The International Monetary Fund warns that prolonged closure could slash global economic growth to 2% by 2026. As a result, Asia faces severe fuel rationing, Europe is grappling with jet-fuel deficits, and the U.S. is battling inflation risks. Furthermore, Gulf states are suffering billions in infrastructure damage and major setbacks to their tourism and technology sectors. Without immediate diplomatic breakthroughs, the crisis threatens to cause disruptions to global supply chains and energy markets"
Minfei,Politics,The world wants Chinese tech. China is determined to keep it,https://www.economist.com/china/2026/04/20/the-world-wants-chinese-tech-china-is-determined-to-keep-it,"Global focus on technology transfer has shifted from protecting Western tech to concerns over how the rest of the world can acquire advanced Chinese technology,  from EVs to AI robots. Countries are leveraging market access to force local manufacturing and tech sharing. However China is actively resisting these effort through export controls. Chinese government has demonstrated paranoia over its tech leaving the country, as demonstrated by the case of AI startup Manus. Unlike China's top-down strategy in digesting foreign tech, the rest of the world would have to rely on companies themselves to drive the transfer. Moreover, China's tech control might actually accelerate tech transfers, incentivizing innovators to take ideas abroad early on. Ultimately, China still needs Western tech, particularly in the semiconductor industry. This is likely leading to a future of a two-way tech transfer across borders, which both US and China leaders will resist."
Minfei,Politics,"D.H.S. Will Run Out of Money for Paychecks in May, Secretary Says",https://www.nytimes.com/2026/04/21/us/politics/homeland-security-tsa-paychecks-mullin.html,"DHS secritary warns that the agency will run out of money by May if Congress does not reach a deal to end the two month shut down. The department's payroll costs, drawn from Trump's domestic policy bill, exxceeds 1.6 billion dollars every two weeks, and available funding for salaries will dry up after April. 90% of the department's workers are considered essential and are working without pay. Disruption is most visible in airports as thousands of TSA workers are affected by the shutdown. Though the situation at the airport alleviated after TSA employees started receiving pay in late march, a TSA union representative worned that the crisis would be renewed with missed paychecks next months. Other operations of DHS is being affected as well. Crisis is rooted in a prolonged political stalemate in Congress. Some Republicans in the House indicates that they refuse to advance a spending bill without seeing progress toward reconciliation measure to fund immigration enforcement. DHS leaders have blamed Democrats for refusing to fully fund the agency without attaching new restrictions on immigration agents."
Nolan,Health,Trump administration reclassifies cannabis as less dangerous,https://www.bbc.com/news/articles/cdxd0xxp0jko,
Nolan,Politics,The U.S. seizes another oil tanker as peace talks with Iran remain in limbo,https://www.npr.org/2026/04/23/nx-s1-5796719/iran-middle-east-updates,
Nolan,Politics,Trump claims ‘rigged’ Virginia vote as court moves to block redistricting map,https://www.france24.com/en/americas/20260423-trump-claims-rigged-virginia-vote-court-moves-block-map-redraw,
Nolan,Tech,Google Releases Android 17 QPR1 Beta 1 for Pixel,https://www.droid-life.com/2026/04/22/google-releases-android-17-qpr1-beta-1-for-pixel/,
Nolan,Tech,Massive Motorola Razr 2026 leak leaves nothing to the imagination,https://www.androidauthority.com/motorola-razr-2026-retail-listing-leak-3659685/,
